Provider;John Doe (SMHI)
CaseStudy;European Rivers
ForecastSystem;E-HYPE
ForecastType;Bias Correction 1
ModelVariable;Discharge
ScoreType;Brier Score
ScoreLeadTimeUnit;Month
VerificationPeriod;2000/01/01 2010/12/31
!
LocationID;River_names;Station_names;Latitude;Longitude;Score_Value;LeadTime
8000100;"River 110";"Station 110";49.296508601401;4.0832430892624;0.099917695473251;2
8000100;"River 110";"Station 110";49.296508601401;4.0832430892624;0.133827160493827;3
8000100;"River 110";"Station 110";49.296508601401;4.0832430892624;0.199341563786008;4
8000100;"River 110";"Station 110";49.296508601401;4.0832430892624;0.253004115226337;5
8000100;"River 110";"Station 110";49.296508601401;4.0832430892624;0.272921810699588;6
8000100;"River 110";"Station 110";49.296508601401;4.0832430892624;0.120634920634921;1
8000133;"River 111";"Station 111";48.2858633087017;7.26411381969228;0.149365079365079;1
8000133;"River 111";"Station 111";48.2858633087017;7.26411381969228;0.0539917695473251;2
8000133;"River 111";"Station 111";48.2858633087017;7.26411381969228;0.186831275720165;3
8000133;"River 111";"Station 111";48.2858633087017;7.26411381969228;0.228641975308642;4
8000133;"River 111";"Station 111";48.2858633087017;7.26411381969228;0.214814814814815;5
8000133;"River 111";"Station 111";48.2858633087017;7.26411381969228;0.286584362139918;6
8000179;"River 112";"Station 112";41.7765163048171;5.04268605262041;0.148888888888889;1
8000179;"River 112";"Station 112";41.7765163048171;5.04268605262041;0.229300411522634;2
8000179;"River 112";"Station 112";41.7765163048171;5.04268605262041;0.223703703703704;3
8000179;"River 112";"Station 112";41.7765163048171;5.04268605262041;0.244938271604938;4
8000179;"River 112";"Station 112";41.7765163048171;5.04268605262041;0.230946502057613;5
8000179;"River 112";"Station 112";41.7765163048171;5.04268605262041;0.215637860082305;6
8000190;"River 113";"Station 113";45.9441090468317;8.37279287865385;0.188571428571429;1
8000190;"River 113";"Station 113";45.9441090468317;8.37279287865385;0.239835390946502;2
8000190;"River 113";"Station 113";45.9441090468317;8.37279287865385;0.269794238683128;3
8000190;"River 113";"Station 113";45.9441090468317;8.37279287865385;0.257942386831276;4
8000190;"River 113";"Station 113";45.9441090468317;8.37279287865385;0.276707818930041;5
8000190;"River 113";"Station 113";45.9441090468317;8.37279287865385;0.232921810699589;6
8000277;"River 114";"Station 114";47.5411374028772;9.22364791156724;0.0436507936507937;1
8000277;"River 114";"Station 114";47.5411374028772;9.22364791156724;0.0567901234567901;2
8000277;"River 114";"Station 114";47.5411374028772;9.22364791156724;0.204444444444444;3
8000277;"River 114";"Station 114";47.5411374028772;9.22364791156724;0.214156378600823;4
8000277;"River 114";"Station 114";47.5411374028772;9.22364791156724;0.258271604938272;5
8000277;"River 114";"Station 114";47.5411374028772;9.22364791156724;0.168724279835391;6
8000350;"River 115";"Station 115";47.2719793720171;8.387790187262;0.0331746031746032;1
8000350;"River 115";"Station 115";47.2719793720171;8.387790187262;0.0888888888888889;2
8000350;"River 115";"Station 115";47.2719793720171;8.387790187262;0.203292181069959;3
8000350;"River 115";"Station 115";47.2719793720171;8.387790187262;0.204609053497942;4
8000350;"River 115";"Station 115";47.2719793720171;8.387790187262;0.24082304526749;5
8000350;"River 115";"Station 115";47.2719793720171;8.387790187262;0.23522633744856;6
8000402;"River 116";"Station 116";47.4746923916973;5.01135241938755;0.00396825396825397;1
8000402;"River 116";"Station 116";47.4746923916973;5.01135241938755;0.0492181069958848;2
8000402;"River 116";"Station 116";47.4746923916973;5.01135241938755;0.134814814814815;3
8000402;"River 116";"Station 116";47.4746923916973;5.01135241938755;0.177777777777778;4
8000402;"River 116";"Station 116";47.4746923916973;5.01135241938755;0.233086419753086;5
8000402;"River 116";"Station 116";47.4746923916973;5.01135241938755;0.206090534979424;6
8000577;"River 117";"Station 117";48.7728903186508;7.09800376323983;0.192380952380952;1
8000577;"River 117";"Station 117";48.7728903186508;7.09800376323983;0.483456790123457;2
8000577;"River 117";"Station 117";48.7728903186508;7.09800376323983;0.459094650205761;3
8000577;"River 117";"Station 117";48.7728903186508;7.09800376323983;0.496625514403292;4
8000577;"River 117";"Station 117";48.7728903186508;7.09800376323983;0.523621399176955;5
8000577;"River 117";"Station 117";48.7728903186508;7.09800376323983;0.455637860082305;6
8000588;"River 118";"Station 118";47.9469588468783;1.33233514847234;0.14952380952381;1
8000588;"River 118";"Station 118";47.9469588468783;1.33233514847234;0.242469135802469;2
8000588;"River 118";"Station 118";47.9469588468783;1.33233514847234;0.238683127572016;3
8000588;"River 118";"Station 118";47.9469588468783;1.33233514847234;0.260246913580247;4
8000588;"River 118";"Station 118";47.9469588468783;1.33233514847234;0.250041152263374;5
8000588;"River 118";"Station 118";47.9469588468783;1.33233514847234;0.25037037037037;6
8000593;"River 119";"Station 119";45.7178727048449;9.12511024158448;0.19031746031746;1
8000593;"River 119";"Station 119";45.7178727048449;9.12511024158448;0.274732510288066;2
8000593;"River 119";"Station 119";45.7178727048449;9.12511024158448;0.268477366255144;3
8000593;"River 119";"Station 119";45.7178727048449;9.12511024158448;0.275061728395062;4
8000593;"River 119";"Station 119";45.7178727048449;9.12511024158448;0.269135802469136;5
8000593;"River 119";"Station 119";45.7178727048449;9.12511024158448;0.264855967078189;6
8000605;"River 120";"Station 120";47.0467674918473;8.07569141499698;0.276190476190476;1
8000605;"River 120";"Station 120";47.0467674918473;8.07569141499698;0.266995884773663;2
8000605;"River 120";"Station 120";47.0467674918473;8.07569141499698;0.26156378600823;3
8000605;"River 120";"Station 120";47.0467674918473;8.07569141499698;0.273415637860082;4
